ISO3,Year,actual_funding,pred_funding,funding_ratio_gap,neighbor_avg_ratio_gap,neighbor_avg_funding,relative_to_peers
ETH,2024,63903768.73,63655605.05223425,0.0038985361550190056,-0.014787457068575205,69680528.79600002,0.01868599322359421
ETH,2025,44200860.68,63926323.98009459,-0.30856558099972575,0.1425491697131661,73120293.362,-0.45111475071289187
HTI,2024,4026011.8,15416972.168512985,-0.7388584635170733,-0.09195378810598373,46626592.47,-0.6469046754110895
HTI,2025,2162359.06,3709442.281771444,-0.4170662607082364,-0.3798548444972524,41949382.45999999,-0.037211416210984005
IRQ,2018,36590937.66,,,-0.24631920104957683,44992805.35599999,
IRQ,2019,82350483.05,,,-0.1581142035118861,38841813.121999994,
IRQ,2020,27594112.58,59166292.98493944,-0.5336176868977751,0.42983623768891394,72066377.194,-0.9634539245866891
IRQ,2021,25391271.47,24391716.37782587,0.04097928479862145,0.23830391379011506,72506945.41600001,-0.1973246289914936
IRQ,2022,8386519.220000001,33471543.14353994,-0.7494433051970413,0.11628802320732592,56615287.026,-0.8657313284043672
JOR,2018,10372517.73,,,-0.4283838640664295,7144218.381999999,
JOR,2019,8753790.86,,,-0.4283838640664295,7467963.756,
JOR,2020,8334514.42,13961187.15834018,-0.4030225133812422,-0.4368376476281585,7551819.044,0.033815134246916345
JOR,2021,2022680.58,10997269.392232321,-0.8160742900934412,-0.29915372205742546,8814185.812,-0.5169205680360158
JOR,2022,400000.02,6397452.385373554,-0.9374751079172521,-0.25868678278282187,9138721.923999999,-0.6787883251344302
LBN,2018,14695922.66,,,0.7188917747767174,47290169.998,
LBN,2019,10964198.82,,,0.40301082858255355,24037885.45,
LBN,2020,16210106.03,11233330.91996082,0.4430364551262178,0.3896689530679988,22988704.007999998,0.053367502058218996
LBN,2021,25267473.8,26525482.903473858,-0.04742643547911074,0.8252489534520886,30310117.174000002,-0.8726753889311993
LBN,2022,28340770.36,25004034.899576098,0.13344788046510336,0.45125832075185807,20060208.242000002,-0.3178104402867547
LBN,2023,26686329.11,13628233.52074274,0.9581649426084671,0.1763526333707368,20391096.492,0.7818123092377303
LBN,2024,65617457.71,23719898.019054532,1.7663465356085664,-0.16226183306514116,31797585.817999996,1.9286083686737074
LBN,2025,35093106.64,44128369.214358345,-0.20474952361073162,0.43721667825576394,46034597.694000006,-0.6419662018664956
MLI,2023,5347230.34,17078024.666760948,-0.686894096692146,-0.32664722929031875,6997457.51,-0.3602468674018272
MLI,2024,4199985.609999999,10526262.761598857,-0.6009993570251657,-0.22086528052518634,17723008.448000003,-0.3801340764999794
MLI,2025,8012337.23,5315573.718067057,0.5073325392453754,-0.565492556477823,6464436.131999999,1.0728250957231984
MMR,2018,12815852.52,,,0.42218170996849935,22646589.596,
MMR,2019,15495875.37,,,0.3451491559481469,22750400.716000002,
MMR,2020,16544732.78,16813543.041147962,-0.01598772254545644,0.5682381874731512,21900813.544,-0.5842259100186077
MMR,2021,20857614.5,7957234.2788843755,1.6212140762712703,0.02250425453424228,21038237.200000003,1.5987098217370281
MMR,2022,24695346.51,25750947.256411735,-0.04099269575991615,-0.009828233114390905,25748554.410000004,-0.031164462645525248
MMR,2023,35639378.82,31693726.021108657,0.12449318190809944,-0.0511997025313948,23559747.948,0.17569288443949424
MMR,2024,27894424.96,42856670.58724268,-0.34912291184132604,0.06720432090596157,25108738.72,-0.4163272327472876
MMR,2025,35848382.97,29841212.092808716,0.20130452002111943,-0.0704025370596498,23517947.118,0.27170705708076925
MOZ,2025,2287877.25,16880057.69250072,-0.8644627114623884,-0.41337812475576563,18253406.606000002,-0.45108458670662277
NER,2021,12482617.94,56347786.14412451,-0.7784719011307317,-0.3741148496883502,21055850.492000002,-0.40435705144238154
NER,2022,8999635.84,16602769.02933302,-0.45794368252067774,-0.3724373121246124,6266976.409999999,-0.08550637039606535
NER,2023,10993493.0,14159502.845343607,-0.2235961163272593,-0.5427382647835503,10327444.074,0.31914214845629096
NER,2024,8777317.27,16342436.627367388,-0.46291257110941963,-0.29596288626728273,7670141.602000001,-0.1669496848421369
NER,2025,4998011.6,13108269.05629322,-0.618713075041706,-0.5219636735560469,9320058.878,-0.09674940148565914
NGA,2018,36066923.52,,,-0.17897804089818417,25239197.126,
NGA,2019,27692844.53,,,-0.17897804089818417,26914012.924000002,
NGA,2020,23358102.5,28243824.399932053,-0.17298372312298493,-0.18097614682325058,27780961.330000002,0.00799242370026565
NGA,2021,31434295.69,27440459.542148475,0.14554552709720503,-0.2871525635633139,26165722.692,0.43269809066051895
NGA,2022,24710819.97,32855150.019488983,-0.24788594922433593,-0.15600873812280025,27510417.836000003,-0.09187721110153568
NGA,2023,23973602.54,29835122.531349536,-0.19646374789278942,-0.09177471508337194,28652597.242000002,-0.10468903280941748
NGA,2024,18999922.94,33964097.23600952,-0.44058801834262085,-0.09177471508337194,28652597.242000002,-0.3488133032592489
NGA,2025,19498025.21,25521133.513566233,-0.2360047331112678,-0.06980818419979481,44329855.112,-0.16619654891147298
PAK,2018,5358172.46,,,-0.49890150457687515,9886968.152,
PAK,2019,8890418.149999999,,,-0.49890150457687515,9180519.014,
PAK,2020,9681444.56,7845599.4915859,0.2339967864001944,-0.8653506500654099,10697129.530000001,1.0993474364656044
PAK,2021,1537348.88,8657024.289719537,-0.8224160140308668,-0.3371442498498793,10651132.868,-0.48527176418098755
PAK,2025,1632784.64,17802864.672068305,-0.908285286099953,-0.2942096138153362,10632045.716,-0.6140756722846168
PSE,2018,21172933.45,,,0.8144883597057163,39238928.566,
PSE,2019,27755525.99,,,0.6802167208442645,52132896.581999995,
PSE,2020,36189901.76,18920170.992060296,0.9127682183837984,0.9097056969929666,42172466.107999995,0.0030625213908318516
PSE,2021,27779288.3,25783777.67875181,0.07739403613042595,1.3023322020525734,32541628.758000005,-1.2249381659221474
PSE,2022,21390715.94,25346542.39770097,-0.1560696680293473,0.8892883180626675,53405858.59199999,-1.0453579860920148
PSE,2023,87674576.38,25008470.594446808,2.5057952084230353,0.3786967003132209,31875531.184000004,2.1270985081098144
PSE,2024,49481106.72,65175471.355891526,-0.240801705141375,0.23283514433223274,37271486.488,-0.47363684947360774
PSE,2025,65928182.11,47795118.131635465,0.37939155058521146,0.7554230134090278,41886444.691999994,-0.3760314628238164
SDN,2018,42489846.55,,,0.09276441334749089,78399209.53199999,
SDN,2019,58587608.85,,,0.31155169964660945,84277602.214,
SDN,2020,75791589.6,56146202.299183115,0.3498969920731878,0.007053553772258581,71738860.922,0.3428434383009292
SDN,2021,56864162.64,69682892.02152139,-0.18395805641307705,0.47672161833317156,84622291.456,-0.6606796747462487
SDN,2022,65576233.53,58715935.62570612,0.1168387735150116,0.37645600835714205,82879877.278,-0.25961723484213045
SDN,2023,81211049.33,54893509.04771507,0.4794290024237464,0.31155169964660945,87497154.674,0.16787730277713697
SDN,2024,180666178.75,92015637.19531536,0.9634290894113153,0.12514741593513054,79483101.478,0.8382816734761848
SDN,2025,135176453.04,124211103.73170154,0.0882799442148412,0.47672161833317156,84622291.456,-0.38844167411833036
SOM,2018,52967289.37,,,-0.031136785557524332,50139709.897999994,
SOM,2019,53412057.67,,,-0.031136785557524332,50050756.238,
SOM,2020,36556082.52,50832049.460056484,-0.2808457870909661,0.05209954828695625,53421951.26800001,-0.3329453353779223
SOM,2021,46268713.13,53356542.027466096,-0.13283898521417536,-0.15801199848149006,64639813.739999995,0.025173013267314692
SOM,2022,71029813.32000001,57346484.38709581,0.23860798232268343,-0.12105170818426025,46527205.107999995,0.3596596905069437
